,Title,Channel,Published At,View Count,Like Count,Comment Count,Like Ratio,Comment Ratio
85,Terence Crawford vs Israil Madrimov | Fight Highlights | Riyadh Season,Sports On Prime,2024-08-04,193064,1948,446,0.010089918369038246,0.002310114780590892
86,Spoit Vs STOMPN 1v1 REMATCH,Spoit,2024-08-03,378845,13271,1284,0.0350301574522562,0.0033892489012656893
87,Triple H Comments On Jacob Fatu Injury During WWE SummerSlam Main Event,WrestlingNewsCo,2024-08-04,245990,1678,373,0.006821415504695312,0.001516321801699256
88,Will this BIG BLOCK Chrysler RUN & DRIVE After 35 YEARS??,Junkyard Digs,2024-08-03,329608,25978,1683,0.0788148345913934,0.005106065386762457
89,Hugh's Acting Masterclass,Ryan Reynolds,2024-08-04,1082211,78051,1392,0.07212179510280342,0.0012862556377638001
90,Shootout Thrill: India vs Great Britain | #FIHProLeague | #Hockey,International Hockey Federation (FIH),2024-08-04,868680,5971,280,0.006873647373025741,0.00032232813003637705
91,Put a Dollar Store book bin in your kitchen cabinet (this is BRILLIANT!),Hometalk,2024-08-03,847573,0,303,0.0,0.00035749133113017995
92,Jordan Adetunji - KEHLANI REMIX (feat. Kehlani) [Official Video],Jordan Adetunji,2024-08-02,2090626,114037,3116,0.05454681994770944,0.0014904626652495472
93,"Decision 2024 | Trump cancels ABC debate with Harris, pitches one for Fox News",WCNC,2024-08-04,459148,3643,5986,0.007934260848353908,0.013037190622631483
94,Charli xcx - Guess featuring Billie Eilish (official video),Charli xcx,2024-08-01,9134233,555900,28803,0.06085896867312231,0.0031533025268788302
95,지민 (Jimin) 'Rebirth + Slow Dance (feat. Sofia Carson)' Live Clip,BANGTANTV,2024-08-04,2507090,497384,33086,0.1983909632282846,0.013196973383484438
96,I TESTED SCIENCE in LEGO,Mr. Bricks,2024-08-03,630004,5775,275,0.009166608465977994,0.00043650516504657115
97,I Trolled Shiny Hunters In Pokémon,Nokimon,2024-08-03,404338,15252,541,0.03772091665883494,0.0013379895038309532
98,"1,000 People Watched Me Golf!",Grant Horvat Golf,2024-08-05,336234,13027,664,0.03874385100852382,0.001974815158490813
99,"Julien Alfred Wins 100m Gold In 10.72 For St. Lucia, Sha'Carri Richardson Silver | Press Conference",CITIUS MAG,2024-08-03,489540,4511,1551,0.009214773052253135,0.003168280426522858
100,Can You Beat DARK SOULS 1 With Only Fire Surge?,The Backlogs,2024-08-03,399293,25102,709,0.06286611585978216,0.001775638440944369
101,MY BRAND NEW WIDE BODY LAMBORGHINI URUS,Duke Dennis,2024-08-03,1481060,115298,5555,0.07784829784073569,0.003750692071894454
